profanity	obfuscation	pos	definition	language
nigga	n*gga	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
nigger	n*gger	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
nigra	n*gra	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=DE	DE
pimpern	p*mpern	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
puffmutter	p*ffmutter	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=DE	DE
schlampe	schl*mpe	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=DE	DE
schnackseln	schn*ckseln	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=DE	DE
schwachkopf	schw*chkopf	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=DE	DE
schwuchtel	schw*chtel	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=DE	DE
verdammt	v*rdammt	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=DE	DE
wichser	w*chser	NOUN	https://www.urbandictionary.com/define.php?term=wichser	DE
bagascia	b*gascia	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
baldracca	b*ldracca	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
bastardo	b*stardo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=IT	IT
battona	b*ttona	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
bischero	b*schero	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
bocchino	b*cchino	NOUN	https://babelnet.org/synset?id=bn:00033999n&lang=IT	IT
cagna	c*gna	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=IT	IT
cazzo	c*zzo	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
checca	ch*cca	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
chiavare	ch*avare	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
chiavata	ch*avata	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=IT	IT
coglione	c*glione	NOUN	https://babelnet.org/synset?id=bn:00012591n&lang=IT	IT
culo  c*lo  NOUN  https://babelnet.org/synset?id=bn%3A00005913n&lang=IT	IT
culattone	c*lattone	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
donnaccia	d*nnaccia	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
femminiello	f*mminiello	NOUN	https://babelnet.org/synset?id=bn%3A02551254n&lang=IT	IT
fica	f*ca	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
figa	f*ga	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
finocchio	f*nocchio	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
fottere	f*ttere	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
fregna	fr*gna	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
frocio	fr*cio	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=IT	IT
merda	m*rda	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=IT	IT
mignotta	m*gnotta	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
minchia	m*nchia	NOUN	https://babelnet.org/synset?id=bn:08946343n&lang=IT	IT
mona	m*na	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
negro	n*gro	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=IT	IT
paracula	p*racula	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
passeggiatrice	p*sseggiatrice	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
passera	p*ssera	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
pisello	p*sello	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=IT	IT
porca	p*rca	NOUN	https://babelnet.org/synset?id=bn:00073025n&lang=IT	IT
puttana	p*ttana	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
ricchione	r*cchione	NOUN	https://babelnet.org/synset?id=bn%3A00056757n&lang=IT	IT
sborra	sb*rra	NOUN	https://babelnet.org/synset?id=bn:00020895n&lang=IT	IT
sciattona	sc*attona	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
scopata	sc*pata	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=IT	IT
sgualdrina	sg*aldrina	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
sorca	s*rca	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=IT	IT
squillo	sq*illo	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
stronzo	str*nzo	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=IT	IT
tranvione	tr*nvione	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
travione	tr*vione	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
travioni	tr*vioni	NOUN	https://babelnet.org/synset?id=bn%3A15152029n&lang=EN	IT
troia	tr*ia	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=IT	IT
trombare	tr*mbare	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=IT	IT
vaffanculo	v*ffanculo	NOUN	https://babelnet.org/synset?id=bn:23891915n&lang=IT	IT
zoccola	z*ccola	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=IT	IT
bastardo	b*stardo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=ES	ES
bicho	b*cho	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
chichi	ch*chi	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
chinga	ch*nga	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
chocho	ch*cho	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
cipote	c*pote	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
cocho	c*cho	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
cojones	c*jones	NOUN	https://babelnet.org/synset?id=bn:0008124n&lang=ES	ES
coño	c*ño	NOUN	https://babelnet.org/synset?id=bn%3A00080288n&orig=co%C3%B1o&lang=ES	ES
culear	c*lear	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
follar	f*llar	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
follarse	f*llarse	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
fornicar	f*rnicar	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
fulana	f*lana	NOUN	https://babelnet.org/synset?id=bn:00009205n&lang=ES	ES
furcia	f*rcia	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
garchar	g*rchar	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
gilipollas	g*lipollas	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=ES	ES
golfa	g*lfa	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
idiota	id*ota	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
imbecil	imb*cil	NOUN	https://babelnet.org/synset?id=bn:0074823n&lang=ES	ES
joder	j*der	NOUN	https://babelnet.org/synset?id=bn:00006453n&lang=ES	ES
lagarta	l*garta	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
lagartona	l*gartona	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
mierda	m*erda	NOUN	https://babelnet.org/synset?id=bn:00005914n&lang=ES	ES
nigga	n*gga	NOUN	https://babelnet.org/synset?id=bn:00022443n&lang=ES	ES
ojete	oj*te	NOUN	https://babelnet.org/synset?id=bn:0004797n&lang=ES	ES
panocha	p*nocha	NOUN	https://babelnet.org/synset?id=bn:00024407n&lang=ES	ES
pelotas	p*lotas	NOUN	https://dle.rae.es/pelota	ES
pendejo	p*ndejo	NOUN	https://babelnet.org/synset?id=bn:00006506n&lang=ES	ES
perra	p*rra	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
picha	p*cha	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pichar	p*char	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
pichi	p*chi	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pichula	p*chula	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pilila	p*lila	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pinga	p*nga	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
pipe	p*pe	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
polla	p*lla	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
puta	p*ta	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
putilla	p*tilla	NOUN	https://babelnet.org/synset?id=bn:00072076n&lang=ES	ES
puto	p*to	NOUN	https://babelnet.org/synset?id=bn:00032701n&lang=ES	ES
ramera	r*mera	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
reata	r*ata	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
subnormal	s*bnormal	NOUN	https://babelnet.org/synset?id=bn:0074936n&lang=ES	ES
sudaca	s*daca	NOUN	https://babelnet.org/synset?id=bn:0050166n&lang=ES	ES
verga	v*rga	NOUN	https://babelnet.org/synset?id=bn:00020263n&lang=ES	ES
vergar	v*rgar	VERB	https://babelnet.org/synset?id=bn:00083081v&lang=ES	ES
zorra	z*rra	NOUN	https://babelnet.org/synset?id=bn:00010740n&lang=ES	ES
